name,patent_count
Kangguo Cheng,17
Shunpei Yamazaki,15
Lei Wang,10
"Frederick E. Shelton, IV",9
Alexander Reznicek,9
Hanbyul Seo,8
Yeong-Ming Chang,7
Ruilong Xie,7
Hongyuan Zhang,7
Hiroyuki Miyake,7
